colaborador,area,calificacion_desempeno,meta_trimestral,cumplimiento,edad,salario,anios_en_empresa,kpi_productividad,kpi_calidad
Tatiana Salas,Marketing,60,88,69,46,679473,10,0.97,0.93
Rebeca Valverde,RRHH,55,88,96,32,1136580,10,0.69,0.98
Paola Salas,IT,87,88,99,22,550404,7,0.93,0.91
Ana Paniagua,RRHH,77,100,74,31,1258690,1,0.62,0.6
María López,Operaciones,58,85,96,55,586187,8,0.51,0.75
Helen Muñoz,RRHH,55,95,69,51,1360717,11,0.7,0.57
Pablo Campos,IT,75,88,75,59,877359,12,0.99,0.8
Lucía Salas,RRHH,88,95,97,45,854462,12,0.65,0.76
Pedro Vargas,RRHH,58,88,81,31,1060736,12,0.53,0.52
Juan Pablo Ríos,Marketing,97,90,75,44,1048870,11,0.57,0.82
Natalia Salas,Finanzas,57,90,91,50,1451791,2,0.8,0.61
Julián Vargas,Marketing,82,88,86,42,1114037,1,0.77,0.68
Fabiola Sequeira,RRHH,68,88,91,30,573321,9,0.74,0.84
Kevin Ugalde,Finanzas,71,88,65,29,1464032,3,0.59,0.6
Silvia Torres,IT,82,88,90,35,696106,8,0.57,0.84
Lorena Arce,Finanzas,99,88,99,36,1120559,9,0.87,0.59
Tatiana Brenes,Operaciones,98,85,81,34,921923,9,0.84,0.89
Germán Paniagua,RRHH,76,88,72,40,1024665,9,0.67,0.95
Laura Campos,Marketing,87,100,86,42,666421,6,0.62,0.58
Daniela Villalobos,Operaciones,57,90,95,58,1412755,8,0.56,0.7
Valeria Fernández,IT,69,85,94,59,1349666,14,0.96,0.78
Sergio Valverde,Operaciones,99,95,69,27,1497609,6,0.86,0.6
Kattia Pérez,Marketing,55,88,78,59,1338260,14,0.58,0.74
Luis Molina,Marketing,60,88,74,26,1162246,10,0.99,0.66
Paola Valverde,RRHH,91,85,81,30,1322042,8,0.8,0.9
Juan Pablo Ramírez,Operaciones,98,88,78,32,1014008,2,0.59,0.53
Andrés Fernández,Operaciones,83,90,78,51,1329554,5,0.59,0.62
Ronald Aguilar,Marketing,79,100,89,39,1379735,8,0.72,0.69
Pedro Mora,IT,79,85,97,23,961597,5,0.95,0.81
Rebeca Mora,RRHH,61,90,72,36,1456862,13,0.75,0.87
Luis Jiménez,RRHH,92,85,97,58,582154,7,0.57,0.6
Ricardo Rojas,RRHH,64,85,77,52,1234846,4,0.73,0.8
Kattia Delgado,RRHH,83,95,76,23,697550,3,0.85,0.77
Kattia Solano,Finanzas,74,90,74,59,790773,8,0.71,0.64
Felipe Solano,Operaciones,67,88,89,54,738014,8,0.94,0.97
Andrés Méndez,Marketing,59,100,72,49,1270670,10,0.53,0.54
Silvia Gómez,IT,76,90,87,22,1413021,5,0.99,0.92
Isabel Rojas,Finanzas,94,100,73,30,607545,4,0.89,0.8
Marco Duarte,Marketing,65,88,71,39,1082954,2,0.96,0.79
Mario Soto,Finanzas,61,95,70,45,1382672,1,0.89,0.64
