colaborador,area,calificacion_desempeno,meta_trimestral,cumplimiento,edad,salario,anios_en_empresa,kpi_productividad,kpi_calidad,clasificacion
Valeria Delgado,IT,66,90,86,43,950109,14,0.99,0.7,Media
Claudia Ríos,IT,88,100,94,54,919599,1,0.6,0.86,Media
Cindy Zúñiga,RRHH,71,95,92,51,855628,14,0.96,0.69,Media
Hillary Araya,Finanzas,85,90,97,42,818246,1,0.66,0.58,Media
Mario Arce,Marketing,57,88,96,43,568070,2,0.63,0.65,Baja
Sofía Mora,RRHH,63,90,93,47,785362,2,0.93,0.96,Baja
Luis Solís,IT,74,85,72,37,1034299,3,0.67,0.69,Media
Kattia Zúñiga,Marketing,79,88,86,43,581024,4,0.52,0.65,Media
Juan Pablo Hernández,RRHH,62,100,69,25,1271772,4,0.71,0.85,Baja
Silvia Chacón,Operaciones,96,90,81,40,578251,10,0.54,0.51,Alta
Tatiana Gómez,RRHH,55,88,65,55,727247,14,0.55,0.59,Baja
Vanessa Ramírez,Marketing,93,100,86,50,1264998,3,0.62,0.68,Alta
Mario Solano,RRHH,83,95,69,51,628781,4,0.59,0.51,Media
Felipe Vargas,Operaciones,93,95,97,51,1045972,7,0.52,0.97,Alta
Óscar Hernández,Finanzas,85,88,83,53,741232,8,0.83,0.58,Media
Kattia Zúñiga,Operaciones,82,90,84,45,1264635,2,0.79,0.56,Media
Julián Vargas,RRHH,57,85,97,31,1157274,12,0.64,0.61,Baja
Cindy Cordero,Operaciones,89,85,90,29,1162956,10,0.84,0.67,Alta
Daniel Duarte,IT,99,90,93,57,610692,13,0.64,0.59,Alta
Gabriela Muñoz,Marketing,89,95,82,53,1294086,14,0.78,0.62,Alta
Gabriela León,Marketing,89,85,94,38,1184736,14,0.75,0.69,Alta
Claudia Rojas,RRHH,90,95,83,33,1275256,7,0.98,0.84,Alta
Lorena Paniagua,RRHH,59,90,76,46,1216490,5,0.88,0.9,Baja
Laura Brenes,Operaciones,96,88,78,52,1439465,5,0.87,0.77,Alta
Samuel Delgado,Finanzas,63,88,81,59,1075830,14,0.85,0.54,Baja
Kevin Arce,Marketing,56,100,93,58,866837,3,0.79,0.93,Baja
Mario León,IT,99,95,70,52,753196,12,0.78,0.71,Alta
Ana Pérez,RRHH,99,100,92,41,1261131,8,0.56,0.82,Alta
Bryan Paniagua,RRHH,82,85,89,54,1439765,5,0.98,0.51,Media
Helen Jiménez,Marketing,75,100,75,58,809747,3,0.85,0.54,Media
Melissa López,Operaciones,68,85,67,37,722502,9,0.96,0.98,Media
Daniela Soto,RRHH,78,95,72,49,1064723,10,0.69,0.61,Media
Marcos Castro,IT,95,95,91,38,1415184,5,0.91,0.84,Alta
Tatiana Salas,Marketing,60,88,69,46,679473,10,0.97,0.93,Baja
Rebeca Valverde,RRHH,55,88,96,32,1136580,10,0.69,0.98,Baja
Paola Salas,IT,87,88,99,22,550404,7,0.93,0.91,Media
Ana Paniagua,RRHH,77,100,74,31,1258690,1,0.62,0.6,Media
María López,Operaciones,58,85,96,55,586187,8,0.51,0.75,Baja
Helen Muñoz,RRHH,55,95,69,51,1360717,11,0.7,0.57,Baja
Pablo Campos,IT,75,88,75,59,877359,12,0.99,0.8,Media
Lucía Salas,RRHH,88,95,97,45,854462,12,0.65,0.76,Media
Pedro Vargas,RRHH,58,88,81,31,1060736,12,0.53,0.52,Baja
Juan Pablo Ríos,Marketing,97,90,75,44,1048870,11,0.57,0.82,Alta
Natalia Salas,Finanzas,57,90,91,50,1451791,2,0.8,0.61,Baja
Julián Vargas,Marketing,82,88,86,42,1114037,1,0.77,0.68,Media
Fabiola Sequeira,RRHH,68,88,91,30,573321,9,0.74,0.84,Media
Kevin Ugalde,Finanzas,71,88,65,29,1464032,3,0.59,0.6,Media
Silvia Torres,IT,82,88,90,35,696106,8,0.57,0.84,Media
Lorena Arce,Finanzas,99,88,99,36,1120559,9,0.87,0.59,Alta
Tatiana Brenes,Operaciones,98,85,81,34,921923,9,0.84,0.89,Alta
Germán Paniagua,RRHH,76,88,72,40,1024665,9,0.67,0.95,Media
Laura Campos,Marketing,87,100,86,42,666421,6,0.62,0.58,Media
Daniela Villalobos,Operaciones,57,90,95,58,1412755,8,0.56,0.7,Baja
Valeria Fernández,IT,69,85,94,59,1349666,14,0.96,0.78,Media
Sergio Valverde,Operaciones,99,95,69,27,1497609,6,0.86,0.6,Alta
Kattia Pérez,Marketing,55,88,78,59,1338260,14,0.58,0.74,Baja
Luis Molina,Marketing,60,88,74,26,1162246,10,0.99,0.66,Baja
Paola Valverde,RRHH,91,85,81,30,1322042,8,0.8,0.9,Alta
Juan Pablo Ramírez,Operaciones,98,88,78,32,1014008,2,0.59,0.53,Alta
Andrés Fernández,Operaciones,83,90,78,51,1329554,5,0.59,0.62,Media
Ronald Aguilar,Marketing,79,100,89,39,1379735,8,0.72,0.69,Media
Pedro Mora,IT,79,85,97,23,961597,5,0.95,0.81,Media
Rebeca Mora,RRHH,61,90,72,36,1456862,13,0.75,0.87,Baja
Luis Jiménez,RRHH,92,85,97,58,582154,7,0.57,0.6,Alta
Ricardo Rojas,RRHH,64,85,77,52,1234846,4,0.73,0.8,Media
Kattia Delgado,RRHH,83,95,76,23,697550,3,0.85,0.77,Media
Kattia Solano,Finanzas,74,90,74,59,790773,8,0.71,0.64,Media
Felipe Solano,Operaciones,67,88,89,54,738014,8,0.94,0.97,Media
Andrés Méndez,Marketing,59,100,72,49,1270670,10,0.53,0.54,Baja
Silvia Gómez,IT,76,90,87,22,1413021,5,0.99,0.92,Media
Isabel Rojas,Finanzas,94,100,73,30,607545,4,0.89,0.8,Alta
Marco Duarte,Marketing,65,88,71,39,1082954,2,0.96,0.79,Media
Mario Soto,Finanzas,61,95,70,45,1382672,1,0.89,0.64,Baja
